date,ron95,ron97,diesel
2020-01-04,2.08,2.65,2.18
2020-01-11,2.08,2.62,2.18
2020-01-18,2.08,2.53,2.18
2020-01-25,2.08,2.49,2.18
2020-02-01,2.08,2.41,2.18
2020-02-08,2.04,2.34,2.08
2020-02-15,2.06,2.36,2.14
2020-02-22,2.08,2.38,2.14
2020-02-29,2.08,2.4,2.13
2020-03-07,1.89,2.19,1.96
2020-03-14,1.82,2.1,1.87
2020-03-21,1.44,1.74,1.75
2020-03-28,1.38,1.68,1.68
2020-04-04,1.3,1.6,1.58
2020-04-11,1.25,1.55,1.46
2020-04-18,1.25,1.55,1.43
2020-04-25,1.25,1.55,1.4
2020-05-02,1.25,1.55,1.4
2020-05-09,1.25,1.55,1.4
2020-05-16,1.31,1.61,1.45
2020-05-23,1.38,1.68,1.51
2020-05-30,1.43,1.73,1.61
2020-06-06,1.48,1.78,1.63
2020-06-13,1.56,1.86,1.73
2020-06-20,1.59,1.89,1.77
2020-06-27,1.69,1.99,1.86
2020-07-04,1.65,1.95,1.84
2020-07-11,1.72,2.02,1.87
2020-07-18,1.72,2.02,1.87
2020-07-25,1.68,1.98,1.82
2020-08-01,1.68,1.98,1.83
2020-08-08,1.63,1.93,1.79
2020-08-15,1.68,1.98,1.82
2020-08-22,1.71,2.01,1.8
2020-08-29,1.72,2.02,1.78
2020-09-05,1.71,2.01,1.78
2020-09-12,1.66,1.96,1.72
2020-09-19,1.63,1.93,1.67
2020-09-26,1.68,1.98,1.71
2020-10-03,1.71,2.01,1.7
2020-10-10,1.67,1.97,1.69
2020-10-17,1.68,1.98,1.74
2020-10-24,1.64,1.94,1.74
2020-10-31,1.64,1.94,1.74
2020-11-07,1.61,1.91,1.68
2020-11-14,1.62,1.92,1.74
2020-11-21,1.64,1.94,1.81
2020-11-28,1.67,1.97,1.85
2020-12-05,1.7,2.0,1.9
2020-12-12,1.73,2.03,1.93
2020-12-19,1.78,2.08,1.96
2020-12-26,1.8,2.1,1.98
2021-01-02,1.84,2.14,2.01
2021-01-09,1.84,2.14,2.02
2021-01-16,1.89,2.19,2.05
2021-01-23,1.9,2.2,2.09
2021-01-30,1.9,2.2,2.07
2021-02-06,1.93,2.23,2.11
2021-02-13,1.96,2.26,2.15
2021-02-20,2.0,2.3,2.15
2021-02-27,2.05,2.35,2.15
2021-03-04,2.05,2.35,2.15
2021-03-11,2.05,2.4,2.15
2021-03-18,2.05,2.47,2.15
2021-03-25,2.05,2.5,2.15
2021-04-01,2.05,2.52,2.15
2021-04-08,2.05,2.54,2.15
2021-04-15,2.05,2.54,2.15
2021-04-22,2.05,2.58,2.15
2021-04-29,2.05,2.58,2.15
2021-05-06,2.05,2.6,2.15
2021-05-13,2.05,2.6,2.15
2021-05-20,2.05,2.61,2.15
2021-05-27,2.05,2.61,2.15
2021-06-03,2.05,2.63,2.15
2021-06-10,2.05,2.65,2.15
2021-06-17,2.05,2.67,2.15
2021-06-24,2.05,2.67,2.15
2021-07-01,2.05,2.69,2.15
2021-07-08,2.05,2.7,2.15
2021-07-15,2.05,2.73,2.15
2021-07-22,2.05,2.73,2.15
2021-07-28,2.05,2.74,2.15
2021-08-05,2.05,2.74,2.15
2021-08-12,2.05,2.74,2.15
2021-08-19,2.05,2.74,2.15
2021-08-26,2.05,2.72,2.15
2021-09-02,2.05,2.72,2.15
2021-09-09,2.05,2.73,2.15
2021-09-16,2.05,2.73,2.15
2021-09-23,2.05,2.75,2.15
2021-09-30,2.05,2.76,2.15
2021-10-07,2.05,2.77,2.15
2021-10-14,2.05,2.87,2.15
2021-10-21,2.05,2.87,2.15
2021-10-28,2.05,2.97,2.15
2021-11-04,2.05,3.06,2.15
2021-11-11,2.05,3.08,2.15
2021-11-18,2.05,3.08,2.15
2021-11-25,2.05,3.05,2.15
2021-12-02,2.05,3.02,2.15
2021-12-09,2.05,2.99,2.15
2021-12-16,2.05,3.0,2.15
2021-12-23,2.05,2.99,2.15
2021-12-30,2.05,3.0,2.15
2022-01-06,2.05,3.03,2.15
2022-01-13,2.05,3.07,2.15
2022-01-20,2.05,3.07,2.15
2022-01-27,2.05,3.12,2.15
2022-02-03,2.05,3.12,2.15
2022-02-10,2.05,3.21,2.15
2022-02-17,2.05,3.27,2.15
2022-02-24,2.05,3.29,2.15
2022-03-03,2.05,3.45,2.15
2022-03-10,2.05,3.75,2.15
2022-03-17,2.05,4.0,2.15
2022-03-24,2.05,3.83,2.15
2022-03-31,2.05,3.91,2.15
2022-04-07,2.05,3.81,2.15
2022-04-14,2.05,3.81,2.15
2022-04-21,2.05,3.81,2.15
2022-04-28,2.05,3.94,2.15
2022-05-05,2.05,3.94,2.15
2022-05-12,2.05,4.31,2.15
2022-05-19,2.05,4.33,2.15
2022-05-26,2.05,4.7,2.15
2022-06-02,2.05,4.7,2.15
2022-06-09,2.05,4.72,2.15
2022-06-16,2.05,4.83,2.15
2022-06-23,2.05,4.84,2.15
2022-06-30,2.05,4.84,2.15
2022-07-07,2.05,4.8,2.15
2022-07-14,2.05,4.75,2.15
2022-07-21,2.05,4.65,2.15
2022-07-28,2.05,4.55,2.15
2022-08-04,2.05,4.5,2.15
2022-08-11,2.05,4.4,2.15
2022-08-18,2.05,4.35,2.15
2022-08-25,2.05,4.3,2.15
2022-09-01,2.05,4.3,2.15
2022-09-08,2.05,4.2,2.15
2022-09-14,2.05,4.15,2.15
2022-09-22,2.05,4.05,2.15
2022-09-29,2.05,4.0,2.15
2022-10-06,2.05,3.95,2.15
2022-10-13,2.05,3.95,2.15
2022-10-20,2.05,3.95,2.15
2022-10-27,2.05,3.95,2.15
2022-11-03,2.05,3.95,2.15
2022-11-10,2.05,3.95,2.15
2022-11-17,2.05,3.95,2.15
2022-11-24,2.05,3.95,2.15
2022-12-01,2.05,3.85,2.15
2022-12-08,2.05,3.75,2.15
2022-12-15,2.05,3.55,2.15
2022-12-22,2.05,3.35,2.15
2022-12-29,2.05,3.35,2.15
2023-01-05,2.05,3.35,2.15
2023-01-12,2.05,3.35,2.15
2023-01-19,2.05,3.35,2.15
2023-01-26,2.05,3.35,2.15
2023-02-02,2.05,3.35,2.15
2023-02-09,2.05,3.35,2.15
2023-02-16,2.05,3.35,2.15
2023-02-23,2.05,3.35,2.15
2023-03-02,2.05,3.35,2.15
2023-03-09,2.05,3.35,2.15
2023-03-16,2.05,3.35,2.15
2023-03-23,2.05,3.35,2.15
2023-03-30,2.05,3.35,2.15
2023-04-06,2.05,3.35,2.15
2023-04-13,2.05,3.35,2.15
2023-04-20,2.05,3.35,2.15
2023-04-27,2.05,3.35,2.15
2023-05-04,2.05,3.35,2.15
2023-05-11,2.05,3.35,2.15
2023-05-18,2.05,3.35,2.15
2023-05-25,2.05,3.35,2.15
2023-06-01,2.05,3.37,2.15
2023-06-08,2.05,3.37,2.15
2023-06-15,2.05,3.37,2.15
2023-06-22,2.05,3.37,2.15
2023-06-29,2.05,3.37,2.15
2023-07-06,2.05,3.37,2.15
2023-07-13,2.05,3.37,2.15
2023-07-20,2.05,3.37,2.15
2023-07-27,2.05,3.37,2.15
2023-08-03,2.05,3.37,2.15
2023-08-10,2.05,3.37,2.15
2023-08-17,2.05,3.37,2.15
2023-08-24,2.05,3.37,2.15
2023-08-31,2.05,3.37,2.15
2023-09-07,2.05,3.37,2.15
2023-09-14,2.05,3.37,2.15
2023-09-21,2.05,3.37,2.15
2023-09-28,2.05,3.37,2.15
2023-10-05,2.05,3.37,2.15
2023-10-12,2.05,3.37,2.15
2023-10-19,2.05,3.47,2.15
2023-10-26,2.05,3.47,2.15
2023-11-02,2.05,3.47,2.15
2023-11-09,2.05,3.47,2.15
2023-11-16,2.05,3.47,2.15
2023-11-23,2.05,3.47,2.15
2023-11-30,2.05,3.47,2.15
2023-12-07,2.05,3.47,2.15
2023-12-14,2.05,3.47,2.15
2023-12-21,2.05,3.47,2.15
2023-12-28,2.05,3.47,2.15
2024-01-04,2.05,3.47,2.15
2024-01-11,2.05,3.47,2.15
2024-01-18,2.05,3.47,2.15
2024-01-25,2.05,3.47,2.15
2024-02-01,2.05,3.47,2.15
2024-02-08,2.05,3.47,2.15
2024-02-15,2.05,3.47,2.15
2024-02-22,2.05,3.47,2.15
2024-02-29,2.05,3.47,2.15
2024-03-07,2.05,3.47,2.15
2024-03-14,2.05,3.47,2.15
2024-03-21,2.05,3.47,2.15
2024-03-28,2.05,3.47,2.15
2024-04-04,2.05,3.47,2.15
2024-04-11,2.05,3.47,2.15
2024-04-18,2.05,3.47,2.15
2024-04-25,2.05,3.47,2.15
2024-05-02,2.05,3.47,2.15
2024-05-09,2.05,3.47,2.15
2024-05-16,2.05,3.47,2.15
2024-05-23,2.05,3.47,2.15
2024-05-30,2.05,3.47,2.15
2024-06-06,2.05,3.47,2.15
2024-06-10,2.05,3.47,3.35
2024-06-13,2.05,3.47,3.35
2024-06-20,2.05,3.47,3.35
2024-06-27,2.05,3.47,3.35
2024-07-04,2.05,3.47,3.35
2024-07-11,2.05,3.47,3.35
2024-07-18,2.05,3.47,3.35
2024-07-25,2.05,3.47,3.35
2024-08-01,2.05,3.47,3.35
2024-08-08,2.05,3.47,3.3
2024-08-15,2.05,3.47,3.25
2024-08-22,2.05,3.47,3.23
2024-08-29,2.05,3.42,3.18
2024-09-05,2.05,3.4,3.16
2024-09-12,2.05,3.25,3.01
2024-09-19,2.05,3.19,2.95
2024-09-26,2.05,3.19,2.95
2024-10-03,2.05,3.19,2.95
2024-10-10,2.05,3.19,2.95
2024-10-17,2.05,3.19,2.95
2024-10-24,2.05,3.19,2.95
2024-10-31,2.05,3.19,2.95
2024-11-07,2.05,3.19,2.95
2024-11-14,2.05,3.19,2.95
2024-11-21,2.05,3.19,2.95
2024-11-28,2.05,3.19,2.95
2024-12-05,2.05,3.19,2.95
2024-12-12,2.05,3.19,2.95
2024-12-19,2.05,3.22,2.95
2024-12-26,2.05,3.25,2.95
2025-01-02,2.05,3.28,2.98
2025-01-09,2.05,3.33,3.03
2025-01-16,2.05,3.38,3.08
2025-01-23,2.05,3.43,3.13
2025-01-30,2.05,3.43,3.18
2025-02-06,2.05,3.43,3.18
2025-02-13,2.05,3.43,3.18
2025-02-20,2.05,3.43,3.18
2025-02-27,2.05,3.43,3.18
2025-03-06,2.05,3.38,3.13
2025-03-13,2.05,3.28,3.06
2025-03-20,2.05,3.28,3.03
2025-03-27,2.05,3.28,3.03
2025-04-03,2.05,3.33,3.03
2025-04-10,2.05,3.28,2.98
2025-04-17,2.05,3.18,2.88
2025-04-24,2.05,3.18,2.88
2025-05-01,2.05,3.18,2.88
2025-05-08,2.05,3.1,2.8
2025-05-15,2.05,3.07,2.77
2025-05-22,2.05,3.1,2.8
2025-05-29,2.05,3.1,2.77
2025-06-05,2.05,3.07,2.74
2025-06-12,2.05,3.07,2.74
2025-06-19,2.05,3.14,2.81
2025-06-26,2.05,3.21,2.88
2025-07-03,2.05,3.18,2.85
2025-07-10,2.05,3.18,2.88
2025-07-17,2.05,3.21,2.91
2025-07-24,2.05,3.21,2.91
2025-07-31,2.05,3.17,2.91
2025-08-07,2.05,3.17,2.94
2025-08-14,2.05,3.13,2.9
2025-08-21,2.05,3.13,2.85
2025-08-28,2.05,3.16,2.88
2025-09-04,2.05,3.16,2.88
2025-09-11,2.05,3.18,2.9
2025-09-18,2.05,3.21,2.93
2025-09-25,2.05,3.21,2.93
2025-09-30,2.6,3.21,2.93
2025-10-09,2.6,3.18,2.93
2025-10-16,2.6,3.18,2.93
2025-10-23,2.6,3.14,2.89
2025-10-30,2.6,3.2,2.95
2025-11-06,2.6,3.2,3.02
2025-11-13,2.65,3.25,3.07
2025-11-20,2.65,3.28,3.1
2025-11-27,2.63,3.26,3.08
2025-12-04,2.66,3.29,3.08
2025-12-11,2.64,3.27,3.06
2025-12-18,2.62,3.24,3.02
2025-12-25,2.56,3.16,2.94
